system:index,Daytime,.geo
115,-3.6558710264049594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82956418706402,19.09773378273897]}"
116,-3.6558710264049594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83225913291639,19.09773378273897]}"
117,-2.3366356371695716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.09773378273897]}"
118,0.15661395858000304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.09773378273897]}"
119,1.1300077935915098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87268332070175,19.09773378273897]}"
120,1.7873399787177888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88615804996354,19.09773378273897]}"
121,1.5891210244694136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.09773378273897]}"
122,0.25155333072529373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91041256263478,19.09773378273897]}"
123,-3.2843279448618787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.095038836886616]}"
124,-2.3366356371695716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84842880803052,19.095038836886616]}"
125,0.15661395858000304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86459848314468,19.095038836886616]}"
126,0.15661395858000304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.095038836886616]}"
127,-5.08178887282282,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.095038836886616]}"
128,-3.2843279448618787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.09234389103426]}"
129,-2.3366356371695716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.09234389103426]}"
130,-0.9084709947944205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.09234389103426]}"
131,-0.9084709947944205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85920859143997,19.09234389103426]}"
132,0.15661395858000304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86998837484938,19.09234389103426]}"
133,1.7873399787177888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.09234389103426]}"
